Source,Target,Weight,Type
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_ Guerra_Granada,15,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_epístolas,10,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_octavas,6,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_sátiras,6,undirected
Cervantes_Salazar_cronica_ nueva_españa,lazarillo_tormes,14,undirected
Hurtado_ cartas,Hurtado_canciones,4,undirected
Hurtado_ cartas,Hurtado_églogas,7,undirected
Hurtado_ cartas,Hurtado_epístolas,27,undirected
Hurtado_ cartas,Hurtado_fábulas,2,undirected
Hurtado_ cartas,Hurtado_octavas,1,undirected
Hurtado_ cartas,Hurtado_poesías_satírico_burlescas,1,undirected
Hurtado_ cartas,Hurtado_poesías_varias,36,undirected
Hurtado_ cartas,Hurtado_sonetos,3,undirected
Hurtado_ Guerra_Granada,Cervantes_Salazar_cronica_ nueva_españa,15,undirected
Hurtado_ Guerra_Granada,Hurtado_epístolas,2,undirected
Hurtado_ Guerra_Granada,lazarillo_tormes,14,undirected
Hurtado_ Guerra_Granada,Valdés_A_dialogo_mercurio_carón,5,undirected
Hurtado_canciones,Hurtado_ cartas,4,undirected
Hurtado_canciones,Hurtado_églogas,32,undirected
Hurtado_canciones,Hurtado_elegías,8,undirected
Hurtado_canciones,Hurtado_fábulas,3,undirected
Hurtado_canciones,Hurtado_octavas,15,undirected
Hurtado_canciones,Hurtado_sonetos,15,undirected
Hurtado_églogas,Hurtado_ cartas,7,undirected
Hurtado_églogas,Hurtado_canciones,32,undirected
Hurtado_églogas,Hurtado_elegías,19,undirected
Hurtado_églogas,Hurtado_fábulas,2,undirected
Hurtado_églogas,Hurtado_octavas,16,undirected
Hurtado_églogas,Hurtado_poesías_satírico_burlescas,4,undirected
Hurtado_églogas,Hurtado_poesías_varias,4,undirected
Hurtado_églogas,Hurtado_sátiras,2,undirected
Hurtado_églogas,Hurtado_sonetos,16,undirected
Hurtado_elegías,Hurtado_canciones,8,undirected
Hurtado_elegías,Hurtado_églogas,19,undirected
Hurtado_elegías,Hurtado_fábulas,12,undirected
Hurtado_elegías,Hurtado_octavas,31,undirected
Hurtado_elegías,Hurtado_sonetos,2,undirected
Hurtado_epístolas,Cervantes_Salazar_cronica_ nueva_españa,10,undirected
Hurtado_epístolas,Hurtado_ cartas,27,undirected
Hurtado_epístolas,Hurtado_ Guerra_Granada,2,undirected
Hurtado_epístolas,Hurtado_fábulas,8,undirected
Hurtado_epístolas,Hurtado_poesías_satírico_burlescas,12,undirected
Hurtado_epístolas,Hurtado_poesías_varias,20,undirected
Hurtado_epístolas,Hurtado_sátiras,3,undirected
Hurtado_epístolas,Hurtado_sonetos,10,undirected
Hurtado_epístolas,lazarillo_tormes,13,undirected
Hurtado_epístolas,Valdés_A_dialogo_mercurio_carón,4,undirected
Hurtado_epístolas,Valdés_J_ dialogo_lengua,10,undirected
Hurtado_fábulas,Hurtado_ cartas,2,undirected
Hurtado_fábulas,Hurtado_canciones,3,undirected
Hurtado_fábulas,Hurtado_églogas,2,undirected
Hurtado_fábulas,Hurtado_elegías,12,undirected
Hurtado_fábulas,Hurtado_epístolas,8,undirected
Hurtado_fábulas,Hurtado_octavas,8,undirected
Hurtado_fábulas,Hurtado_sonetos,1,undirected
Hurtado_octavas,Cervantes_Salazar_cronica_ nueva_españa,6,undirected
Hurtado_octavas,Hurtado_ cartas,1,undirected
Hurtado_octavas,Hurtado_canciones,15,undirected
Hurtado_octavas,Hurtado_églogas,16,undirected
Hurtado_octavas,Hurtado_elegías,31,undirected
Hurtado_octavas,Hurtado_fábulas,8,undirected
Hurtado_octavas,Hurtado_poesías_satírico_burlescas,8,undirected
Hurtado_octavas,Hurtado_poesías_varias,1,undirected
Hurtado_octavas,Hurtado_sátiras,10,undirected
Hurtado_octavas,Hurtado_sonetos,13,undirected
Hurtado_octavas,lazarillo_tormes,5,undirected
Hurtado_octavas,Valdés_A_dialogo_cosas_acaecidas_roma,2,undirected
Hurtado_octavas,Valdés_J_ dialogo_lengua,8,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_ cartas,1,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_églogas,4,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_epístolas,12,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_octavas,8,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_sátiras,15,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_sonetos,11,undirected
Hurtado_poesías_satírico_burlescas,lazarillo_tormes,11,undirected
Hurtado_poesías_satírico_burlescas,Valdés_J_ dialogo_lengua,4,undirected
Hurtado_poesías_varias,Hurtado_ cartas,36,undirected
Hurtado_poesías_varias,Hurtado_églogas,4,undirected
Hurtado_poesías_varias,Hurtado_epístolas,20,undirected
Hurtado_poesías_varias,Hurtado_octavas,1,undirected
Hurtado_poesías_varias,Hurtado_sonetos,6,undirected
Hurtado_sátiras,Cervantes_Salazar_cronica_ nueva_españa,6,undirected
Hurtado_sátiras,Hurtado_églogas,2,undirected
Hurtado_sátiras,Hurtado_epístolas,3,undirected
Hurtado_sátiras,Hurtado_octavas,10,undirected
Hurtado_sátiras,Hurtado_poesías_satírico_burlescas,15,undirected
Hurtado_sátiras,Hurtado_sonetos,8,undirected
Hurtado_sonetos,Hurtado_ cartas,3,undirected
Hurtado_sonetos,Hurtado_canciones,15,undirected
Hurtado_sonetos,Hurtado_églogas,16,undirected
Hurtado_sonetos,Hurtado_elegías,2,undirected
Hurtado_sonetos,Hurtado_epístolas,10,undirected
Hurtado_sonetos,Hurtado_fábulas,1,undirected
Hurtado_sonetos,Hurtado_octavas,13,undirected
Hurtado_sonetos,Hurtado_poesías_satírico_burlescas,11,undirected
Hurtado_sonetos,Hurtado_poesías_varias,6,undirected
Hurtado_sonetos,Hurtado_sátiras,8,undirected
lazarillo_tormes,Cervantes_Salazar_cronica_ nueva_españa,14,undirected
lazarillo_tormes,Hurtado_ Guerra_Granada,14,undirected
lazarillo_tormes,Hurtado_epístolas,13,undirected
lazarillo_tormes,Hurtado_octavas,5,undirected
lazarillo_tormes,Hurtado_poesías_satírico_burlescas,11,undirected
lazarillo_tormes,Valdés_A_dialogo_cosas_acaecidas_roma,7,undirected
lazarillo_tormes,Valdés_A_dialogo_mercurio_carón,19,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Hurtado_octavas,2,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,lazarillo_tormes,7,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_A_dialogo_mercurio_carón,36,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_J_ dialogo_lengua,23,undirected
Valdés_A_dialogo_mercurio_carón,Hurtado_ Guerra_Granada,5,undirected
Valdés_A_dialogo_mercurio_carón,Hurtado_epístolas,4,undirected
Valdés_A_dialogo_mercurio_carón,lazarillo_tormes,19,undirected
Valdés_A_dialogo_mercurio_carón,Valdés_A_dialogo_cosas_acaecidas_roma,36,undirected
Valdés_A_dialogo_mercurio_carón,Valdés_J_ dialogo_lengua,2,undirected
Valdés_J_ dialogo_lengua,Hurtado_epístolas,10,undirected
Valdés_J_ dialogo_lengua,Hurtado_octavas,8,undirected
Valdés_J_ dialogo_lengua,Hurtado_poesías_satírico_burlescas,4,undirected
Valdés_J_ dialogo_lengua,Valdés_A_dialogo_cosas_acaecidas_roma,23,undirected
Valdés_J_ dialogo_lengua,Valdés_A_dialogo_mercurio_carón,2,undirected
